alpha,family,K,order,steps,m,samples,rotations,twoq,trace_distance,infidelity,seconds
3.0,composite,16,2,16,16,256,1280,4906.827188736471,8.265567208424289e-06,3.37295287256012e-08,2.2969119548797607
3.0,composite,16,2,16,64,1024,2048,7723.308754945882,8.253028332409234e-06,8.483504343459458e-09,4.334963083267212
3.0,composite,16,4,1,4,20,1620,6273.345874120037,2.0267707941614372e-05,2.4181971829406734e-06,0.556969165802002
3.0,composite,16,4,1,16,80,1680,6493.383496480147,1.9375970280017922e-05,6.048231906419232e-07,0.7049548625946045
3.0,composite,16,4,1,64,320,1920,7373.533985920589,1.9160803486384766e-05,1.514791878598487e-07,1.3481471538543701
3.0,composite,16,4,2,4,40,3240,12546.691748240073,1.6146201420147604e-06,1.2072366120108313e-06,1.1023259162902832
3.0,composite,16,4,2,16,160,3360,12986.766992960294,9.81376422005148e-07,3.018097772811146e-07,1.4719328880310059
3.0,composite,16,4,2,64,640,3840,14747.067971841177,8.593297709157961e-07,7.54529416724381e-08,2.7183332443237305
3.0,composite,16,4,4,4,80,6480,25093.383496480146,6.079858229845765e-07,6.033550956630052e-07,2.189610004425049
3.0,composite,16,4,4,16,320,6720,25973.53398592059,1.6433731815835743e-07,1.5083893945000426e-07,2.8520290851593018
3.0,composite,16,4,4,64,1280,7680,29494.135943682355,6.942754336549846e-08,3.770982415218782e-08,5.376224994659424
3.0,composite,32,2,1,8,8,136,493.8572869414208,0.0023006435332715213,5.3664942765152546e-06,30.261338233947754
3.0,composite,32,2,1,32,32,160,583.4291477656831,0.002300616398578659,5.3112192179849416e-06,0.18626999855041504
3.0,composite,32,2,1,128,128,256,941.7165910627324,0.0023006096149595177,5.297400452519696e-06,0.4360470771789551
3.0,composite,32,2,2,8,16,272,987.7145738828416,0.0005376625487957771,3.2587195519795387e-07,0.23873615264892578
3.0,composite,32,2,2,32,64,320,1166.8582955313661,0.0005376489331769608,2.982641114090967e-07,0.3696730136871338
3.0,composite,32,2,2,128,256,512,1883.4331821254648,0.000537645529335913,2.913621648392706e-07,0.8801720142364502
3.0,composite,32,2,4,8,32,544,1975.4291477656832,0.00013226161993510645,3.589795249947514e-08,0.48265719413757324
3.0,composite,32,2,4,32,128,640,2333.7165910627323,0.00013225480975455085,2.2092540463702903e-08,0.7360508441925049
3.0,composite,32,2,4,128,512,1024,3766.8663642509296,0.00013225310727220808,1.8641167498500977e-08,1.7548742294311523
3.0,composite,32,2,8,8,64,1088,3950.8582955313664,3.29354152756458e-05,1.0288236929056893e-08,0.9756760597229004
3.0,composite,32,2,8,32,256,1280,4667.433182125465,3.29320097408297e-05,3.385396407651342e-09,1.480989933013916
3.0,composite,32,2,8,128,1024,2048,7533.732728501859,3.2931158388729473e-05,1.6596591878581535e-09,3.502974033355713
3.0,composite,32,2,16,8,128,2176,7901.716591062733,8.226763440072628e-06,4.669597930551106e-09,1.9613251686096191
3.0,composite,32,2,16,32,512,2560,9334.86636425093,8.225060483406708e-06,1.218131706615111e-09,2.9518609046936035
3.0,composite,32,2,16,128,2048,4096,15067.465457003718,8.224634830257933e-06,3.5528191499878403e-10,7.008720874786377
